source_type,title,category,subcategory,reference,price,price_min,price_max,currency,unit,dimensions,tile_m2,city,supplier,in_stock,description,listing_url,scraped_at,price_norm,price_min_norm,price_max_norm
blog_article,Ravalement de façade,construction,,,35100.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.062689,0.04861081295937488,,
blog_article,Maçonnerie – chape béton,construction,,,3525.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.062689,0.004880609272880626,,
blog_article,Rénovation des sols,construction,,,20100.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.062689,0.027836369402845545,,
blog_article,Rénovation des murs,construction,,,15100.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.062689,0.020911554884002433,,
blog_article,Rénovation des plafonds,construction,,,15250.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.063688,0.021119299319567724,,
blog_article,Assainissement,construction,,,1.0008,,,TND,unité,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.063688,1.107970323014776e-09,,
blog_article,Maison en bois Tunis,construction,,,2185.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,150 000 dt  à 287 000 dt,https://www.sm-devis.tn/prix-estimatif-dun-construction-m2-en-tunis/,2026-04-05 09:41:23.661507,0.0030247589818306717,,
blog_article,Plomberie,construction,,,8002.0,,,TND,unité,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.063688,0.011081088193052748,,
blog_article,Mise à la terre,construction,,,3001.0,,,TND,unité,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.063688,0.004154888711305867,,
blog_article,Disjoncteur différentiel,construction,,,200350.0,,,TND,unité,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.063688,0.2774759328071398,,
blog_article,Remise aux normes électriques,construction,,,50100.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.063688,0.06938525651590423,,
blog_article,Prix d’une rénovation maison Tunisie varie,construction,,,45025.0,50.0,90000.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 50.0 – 90000.0 DT/unité,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.070206,0.06235656977927846,9.243191964685726e-06,0.31034197382885725
blog_article,Rénovation partielle,construction,,,225.0,150.0,300.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 150.0 – 300.0 DT/unité,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.070206,0.00031023169044417146,2.8106849035472917e-05,0.0010303490910996873
blog_article,tuiles,construction,,,85.0,40.0,130.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 40.0 – 130.0 DT/unité,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.070206,0.0001163368839165643,7.356826257607005e-06,0.000444139768854216
blog_article,Rénovation de toiture,construction,,,220.0,180.0,260.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 180.0 – 260.0 DT/unité,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.070206,0.00030330687592532835,3.376594615670908e-05,0.0008924174858654588
blog_article,Rénovation de charpente,construction,,,15.0,10.0,20.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 10.0 – 20.0 DT/unité,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.070206,1.9389480652760716e-05,1.6977291363708474e-06,6.482785446008742e-05
blog_article,Ravalement de façade,construction,,,67.5,35.0,100.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 35.0 – 100.0 DT/unité,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.070206,9.21000331006134e-05,6.413643404067646e-06,0.00034069106492854454
blog_article,Rénovation des sols,construction,,,60.0,20.0,100.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 20.0 – 100.0 DT/unité,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.070206,8.171281132234873e-05,3.5840948434495667e-06,0.00034069106492854454
blog_article,Rénovation des murs,construction,,,57.5,15.0,100.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 15.0 – 100.0 DT/unité,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.070206,7.825040406292718e-05,2.640911989910207e-06,0.00034069106492854454
blog_article,Assainissement,construction,,,4000.5,1.0,8000.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 1.0 – 8000.0 DT/unité,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.070206,0.005539159133622606,0.0,0.027582183098688685
blog_article,Disjoncteur différentiel,construction,,,275.0,200.0,350.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 200.0 – 350.0 DT/unité,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.071214,0.00037947983563260256,3.753867757086651e-05,0.0012027635976424732
blog_article,Remise aux normes électriques,construction,,,75.0,50.0,100.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 50.0 – 100.0 DT/unité,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.071214,0.00010248725487887806,9.243191964685726e-06,0.00034069106492854454
blog_article,Rénovation électrique,construction,,,6001.0,,,TND,unité,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-dune-renovation-maison-tunisie/,2026-04-05 09:41:21.063688,0.008309777422611735,,
blog_article,Rebouchage de trémie d’escalier existante Tunis,construction,,,190.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/guide-des-prix-maconnerie-prix-travaux-de-gros-oeuvre-tunisie/,2026-04-05 09:40:52.686760,0.0002617579888122697,,
blog_article,Prix aménagement de combles Tunis,construction,,,925.0,450.0,1400.0,TND,m²,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/prix-pose-construction-et-amenagement-en-tunis/,2026-04-05 09:41:56.970984,0.0012797057230822073,8.46978202478345e-05,0.004823468235040973
